id,date,text
biden_2_45,2023-03-15 00:00:00,My budget would build on the progress we've made growing the economy from the bottom up and middle out. It's a plan… https://t.co/B8yKzFdtvo
biden_2_46,2023-03-15 00:00:00,"Because of actions that our regulators have already taken, every American should feel confident their deposits will… https://t.co/XueQuIMxJ9"
biden_2_47,2023-03-14 00:00:00,I announced an executive order on gun violence to intensify our work to save lives. It will keep firearms out of da… https://t.co/2AF3jHPeFu
biden_2_48,2023-03-14 00:00:00,"I am pleased that, in line with my call, Novo Nordisk will be lowering their insulin prices by 75%, following Eli Lilly’s action. 

This builds on the important progress we made last year when I signed a law to cap insulin at $35 for seniors. I urge others to follow."
biden_2_49,2023-03-14 00:00:00,Today’s report shows annual inflation is down by a third from this summer at a time when the unemployment rate remains near a 50-year low. That is the slowest annual increase since September 2021.
biden_2_50,2023-03-14 00:00:00,"Americans can rest assured that our banking system is safe. Your deposits are safe.

We must get the full accounting of what happened and why those responsible can be held accountable. No one is above the law."
biden_2_51,2023-03-14 00:00:00,"During the Obama-Biden administration, we put tough requirements on banks like Silicon Valley Bank and Signature Bank"
biden_2_52,2023-03-13 00:00:00,"The bottom line is this: Americans can rest assured that our banking system is safe, and your deposits are safe. https://t.co/hM36ZmZ22x"
biden_2_53,2023-03-13 00:00:00,The share of working-age folks in the labor force is higher than it's been at any time since 2008.
biden_2_54,2023-03-12 00:00:00,"More Americans are working than ever. 
Businesses are growing. 
Schools are open. 

Thanks to the American Rescue Plan, we've come a long way. https://t.co/pwGFmIFWvq"
biden_2_55,2023-03-12 00:00:00,The Bipartisan Infrastructure Law is the single largest dedicated investment in bridges since the construction of the Eisenhower-era Interstate Highway System. https://t.co/nvoFDJmzEd
biden_2_56,2023-03-12 00:00:00,Thanks to the American Rescue Plan
biden_2_57,2023-03-12 00:00:00,"My budget won’t cut Medicare like MAGA Republicans want to do.

Instead, it will secure Medicare through 2050 and beyond"
biden_2_58,2023-03-11 00:00:00,"Thanks to the American Rescue Plan, we helped protect the pensions union workers and retirees worked and sacrificed for. 

If we hadn’t acted, they would have faced cuts of up to 60% of their benefits. https://t.co/0k4sHVDAhX"
biden_2_59,2023-03-11 00:00:00,"RT @POTUS: With the signing of the American Rescue Plan, we laid the foundation for the progress we see today:
 
Record new business applic…"
biden_3_60,2023-03-11 00:00:00,"Thanks to the American Rescue Plan, the expanded Child Tax Credit cut child poverty in half and gave tens of millions of parents breathing room.

My budget would restore it."
